country,Coefficient,Value,Std.Error,t-value,p-value,iso_code
Iran,Year,0.238837522,0.025812497,9.25278627,2.42E-07,IRN
Spain,Year,0.23658304,0.043075631,5.492270999,2.24E-05,ESP
Mongolia,Year,0.23104906,0.231044841,1.000018261,0.422642702,MNG
China,Year,0.177909304,0.05343419,3.329503138,0.002200102,CHN
Colombia,Year,0.177706685,0.026234623,6.773746498,1.98E-05,COL
Mexico,Year,0.172052418,0.023037627,7.468322118,4.58E-07,MEX
United Arab Emirates,Year,0.169107545,0.040189247,4.207780891,0.000667547,ARE
Pakistan,Year,0.164099964,0.020276136,8.093256241,1.97E-06,PAK
Morocco,Year,0.156300887,0.072380529,2.159432776,0.051763741,MAR
Chile,Year,0.154701254,0.049566459,3.12108748,0.008110754,CHL
Australia,Year,0.153300859,0.023292017,6.581691013,2.04E-07,AUS
Thailand,Year,0.151767387,0.011106219,13.6650817,4.33E-09,THA
Benin,Year,0.142758483,0.033661172,4.241043179,0.024005181,BEN
Portugal,Year,0.142185686,0.02172938,6.5434765,4.30E-07,PRT
Denmark,Year,0.132442526,0.014067872,9.414538548,1.33E-10,DNK
India,Year,0.129957974,0.026479355,4.907898121,2.42E-05,IND
Italy,Year,0.128682682,0.019558158,6.579488972,1.54E-07,ITA
Bulgaria,Year,0.126786512,0.06220441,2.03822387,0.08765973,BGR
Netherlands,Year,0.12446428,0.021313507,5.839690279,1.55E-06,NLD
Norway,Year,0.124117544,0.016764718,7.403497212,9.77E-09,NOR
Germany,Year,0.12344209,0.042518102,2.903283149,0.0063537,DEU
Brazil,Year,0.123277191,0.016512823,7.465543115,8.09E-08,BRA
Algeria,Year,0.121008894,0.024254804,4.989069141,0.000750082,DZA
Qatar,Year,0.120033876,0.021762679,5.515583504,5.93E-05,QAT
Ireland,Year,0.119697767,0.018882969,6.338927327,8.71E-07,IRL
Lebanon,Year,0.119450628,0.124221523,0.961593645,0.380417017,LBN
Tanzania,Year,0.117808211,0.032059354,3.674690693,0.014372896,TZA
Croatia,Year,0.117029345,0.032285789,3.624794286,0.003992835,HRV
Poland,Year,0.11591231,0.033190431,3.49234118,0.002600574,POL
Egypt,Year,0.11378423,0.022707962,5.010763568,9.07E-05,EGY
Canada,Year,0.111692958,0.016111998,6.93228488,2.65E-08,CAN
France,Year,0.110463863,0.033294459,3.317785178,0.002124778,FRA
United Kingdom,Year,0.109971721,0.013913391,7.904019812,9.00E-10,GBR
Tunisia,Year,0.104816897,0.132893487,0.78872862,0.466004949,TUN
Costa Rica,Year,0.103035392,0.0486716,2.116950992,0.2809444,CRI
Japan,Year,0.099328056,0.005105188,19.45629564,5.31E-22,JPN
New Zealand,Year,0.099215234,0.015311547,6.479765406,1.61E-06,NZL
Romania,Year,0.089372128,0.031394929,2.846705817,0.012247833,ROU
Ghana,Year,0.088863694,0.055481903,1.601669906,0.160347878,GHA
Bangladesh,Year,0.082433074,0.037464099,2.200321799,0.041898124,BGD
United States,Year,0.082328175,0.015410398,5.342378241,3.71E-06,USA
Czechia,Year,0.08014243,0.026816335,2.988567578,0.040395241,CZE
Malta,Year,0.079764754,0.055547026,1.435986026,0.181541063,MLT
Jordan,Year,0.078643144,0.034855488,2.256262898,0.054036595,JOR
Vietnam,Year,0.077372854,0.046897118,1.649842428,0.124886023,VNM
Saudi Arabia,Year,0.07658247,0.024292103,3.15256652,0.005507248,SAU
Sri Lanka,Year,0.073584271,0.034108892,2.157333997,0.05395408,LKA
Iceland,Year,0.072265966,0.038032257,1.900123011,0.115845016,ISL
Jamaica,Year,0.071565203,0.031637949,2.262005104,0.073167676,JAM
Philippines,Year,0.06601618,0.013854873,4.764834792,9.32E-05,PHL
Russia,Year,0.060372923,0.0128735,4.689705237,4.59E-05,RUS
Cyprus,Year,0.060001625,0.055712261,1.07699138,0.322869479,CYP
Nigeria,Year,0.059817763,0.016204656,3.691393453,0.002714224,NGA
Israel,Year,0.055104943,0.022029837,2.501377708,0.01993345,ISR
Lithuania,Year,0.054342608,0.064718306,0.839679079,0.422831832,LTU
South Africa,Year,0.053246185,0.029955056,1.777535817,0.09149117,ZAF
Switzerland,Year,0.053079316,0.019552662,2.714684915,0.012359754,CHE
Estonia,Year,0.04865086,0.027945889,1.740895059,0.107254523,EST
Oman,Year,0.048247132,0.017289261,2.790583753,0.023537111,OMN
Ethiopia,Year,0.04795683,0.038792915,1.236226514,0.34186042,ETH
Kuwait,Year,0.046726496,0.014174731,3.29646451,0.00578695,KWT
Fiji,Year,0.04022997,0.023375791,1.721009994,0.105803036,FJI
Ukraine,Year,0.039958126,0.019107941,2.091179065,0.074839625,UKR
Indonesia,Year,0.039782794,0.043695447,0.910456291,0.377991124,IDN
Malaysia,Year,0.038705306,0.057498893,0.673148708,0.507028264,MYS
Slovenia,Year,0.036481431,0.084250255,0.433012702,0.739853062,SVN
Slovakia,Year,0.035834987,0.017135796,2.091235656,0.10468443,SVK
Argentina,Year,0.035664775,0.028766945,1.239783178,0.24336032,ARG
South Korea,Year,0.033154114,0.042143713,0.786691805,0.439493491,KOR
Turkey,Year,0.030343848,0.057526564,0.527475422,0.604680107,TUR
Serbia,Year,0.030318548,0.009966655,3.041998461,0.022744405,SRB
Finland,Year,0.028767622,0.032533916,0.884234847,0.388904294,FIN
Hungary,Year,0.028161581,0.025565476,1.101547302,0.320838165,HUN
Kenya,Year,0.026627805,0.011660913,2.28350948,0.043268509,KEN
Bermuda,Year,0.025032337,0.032488927,0.770488258,0.521579083,BMU
Greece,Year,0.024826258,0.042067956,0.590146527,0.56333516,GRC
Singapore,Year,0.024755108,0.036745939,0.673682843,0.509569641,SGP
New Caledonia,Year,0.024202148,0.01209598,2.000842206,0.080411251,NCL
Peru,Year,0.022893061,0.079705744,0.287219716,0.783605565,PER
Austria,Year,0.022405113,0.030568722,0.732942415,0.475687536,AUT
Taiwan,Year,0.02171013,0.026529468,0.81834021,0.421560902,TWN
Trinidad & Tobago,Year,0.020466114,0.009639153,2.123227407,0.05521686,TTO
Ecuador,Year,0.018752801,0.223513783,0.083899975,0.937167128,ECU
Monaco,Year,0.017479813,0.028386151,0.615786673,0.553287372,MCO
Venezuela,Year,0.015823697,0.020036494,0.78974382,0.512438351,VEN
Panama,Year,0.01330931,0.017910881,0.743085187,0.485496563,PAN
Mauritius,Year,0.012063071,0.011457998,1.052807871,0.351823407,MUS
Latvia,Year,0.007836527,0.013237241,0.592006077,0.566989511,LVA
Brunei,Year,0.007712958,0.018040631,0.427532642,0.680266643,BRN
Guam,Year,0.005310927,0.013381104,0.396897508,0.729790764,GUM
Puerto Rico,Year,0.002511403,0.013882301,0.180906807,0.860449038,PRI
Bahrain,Year,0.0020941,0.01902061,0.110096378,0.917635571,BHR
Barbados,Year,0.000709348,0.011336564,0.062571693,0.952531897,BRB
Angola,Year,-0.007110384,0.022418709,-0.317162963,0.763935831,AGO
Uruguay,Year,-0.008743684,0.071608376,-0.12210421,0.906803493,URY
Sweden,Year,-0.022824428,0.060679252,-0.3761488,0.70974583,SWE
Belgium,Year,-0.033218851,0.045054136,-0.737309693,0.468081684,BEL
Bahamas,Year,-0.12245866,0.17154055,-0.713875875,0.54937132,BHS
Papua New Guinea,Year,-0.198042163,0.171509169,-1.154703065,0.454370362,PNG
Iraq,Year,-0.272550327,0.130488202,-2.088697081,0.127935871,IRQ
